"date","L18","L19","L20","L22","L03","L10","L11"
"198101",129.5,208.5,152.75,134.25,227.25,158.5,231
"198102",130.75,165.5,136.25,83,172.75,129.5,273
"198103",122.5,265.5,85,201,221.5,105.75,192.25
"198104",217,369,22.5,182,84,42.5,97.5
"198105",59.5,131,1.75,121.25,18.75,21.5,46.75
"198106",7.25,14.5,0,20.75,1.5,3.75,4
"198107",3.5,5,0,5,0,0.5,1.75
"198108",5.5,4,0,7.25,0.5,1.5,0.5
"198109",6.25,5.5,0.75,9.75,3.25,1,1
"198110",9,13.5,5,36,5,10.25,11.75
"198111",19.5,22,16.75,44,18,29.75,31
"198112",132.5,161.5,108.25,355,106.5,126.75,180.25
"198201",85,90.5,108.25,41.5,170,118.5,179.5
"198202",84.5,126.5,135.5,30.5,196.75,146.5,217.5
"198203",121.5,255.5,92,190.25,133,111.75,284.25
"198204",169.25,429,51.5,225.75,134.5,74,215.5
"198205",64.75,152.5,0.5,196.25,13.25,22,41.5
"198206",5.25,12.5,0,29.75,1.75,4.25,3
"198207",9.25,20.5,0,13.25,0,0.75,2.5
"198208",6,4,0,5.5,0.25,2,0.5
"198209",12,12.5,0.5,31,2,1,1.5
"198210",23.5,53,7.75,108.75,14.25,11,19.25
"198211",86.25,112.5,63.5,206.5,213,115,174.75
"198212",234.5,293.5,168,219.25,256,244.75,251.5
"198301",86.75,144.5,170,87.75,171.5,157,343
"198302",118.25,138,106,80.5,120.25,115.75,172.25
"198303",174.25,364.5,119,218.75,104.5,167.75,263.25
"198304",100.5,262.5,10.75,217.25,58.75,25.75,180.75
"198305",49.25,111,1,151,14,16.75,51
"198306",4,9.5,0,7.25,1.5,4.25,3
"198307",6.25,10,0,9.25,0,0.75,2.75
"198308",6.25,4,0,5.5,0.5,1.75,0.5
"198309",6.5,6.5,0.5,17.75,2,0.5,1
"198310",7.75,9.5,4.75,30.5,7.25,10.25,6.75
"198311",35,34.5,18.75,78,38.5,43.75,36.75
"198312",142.75,138.5,144,301.75,174.25,146.75,268.25
"198401",208.25,271.5,243,197.25,217.5,222,345
"198402",164.75,183.5,138.25,17,159.25,133,250.25
"198403",125.5,300.5,101.25,229.75,109.25,92.75,170.5
"198404",179,424.5,33.25,440,60.5,37.5,116
