landscape_no,crop_name,meankgha
L03,Banana,28.51211538
L03,Beans,433.4418634
L03,Finger Millet,11404.84615
L03,Irish potatoes,1976.84
L03,Maize,1452.022917
L03,Wheat,872.9638739
L10,Beans,593.052
L10,Maize,741.4805201
L10,Sorghum,2695.690909
L10,Soyabeans,131.7893333
L10,Sweet Potatoes,658.9466667
L11,Beans,412.268217
L11,Maize,2016.774714
L11,sugar Cane,179.7127273
L11,Tomatoes,1129.622857
L18,Beans,988.42
L18,Groundnut,859.4956522
L18,Maize,1099.845571
L18,Onions,7145.780809
L18,Tomatoes,8043.693793
L19,Cassava,1941.539286
L19,Maize,882.0351153
L19,Paddy,1644.453837
L19,Sesame,693.6280702
L20,Bulrush Millet,737.3226573
L20,Groundnut,2471.05
L20,Maize,1435.326529
L20,Paddy,5615.943355
L20,sugar Cane,7128.028846
L22,Cassava,2802.617824
L22,Maize,889.3816433
L22,Paddy,1299.337192
L22,Sesame/Simsim,413.3513502
L22,Sorghum,172.3988372
